ticker,marketcap,observed_days,name,sector
AES,14817320948,1257,The AES Corporation,Utilities
SJM,13557049664,1257,The J. M. Smucker Company,Consumer Defensive
HON,125808556747,1257,Honeywell International Inc.,Industrials
ED,31250125974,1257,"Consolidated Edison, Inc.",Utilities
JKHY,12280978585,1257,"Jack Henry & Associates, Inc.",Technology
INTC,187075000381,1257,Intel Corporation,Technology
O,55601951898,1257,Realty Income Corporation,Real Estate
AKAM,14430651015,1257,"Akamai Technologies, Inc.",Technology
AMT,106687197811,1257,American Tower Corporation,Real Estate
IBM,132767489017,1257,International Business Machines Corporation,Technology
BSX,73443122043,1257,Boston Scientific Corporation,Healthcare
BIIB,37611332774,1257,Biogen Inc.,Healthcare
WM,62749467475,1257,"Waste Management, Inc.",Industrials
UPS,120381207344,1257,"United Parcel Service, Inc.",Industrials
MCK,40689879725,1257,McKesson Corporation,Healthcare
ITW,64908743390,1257,Illinois Tool Works Inc.,Industrials
JNJ,384770658580,1257,Johnson & Johnson,Healthcare
VTR,22218841778,1257,"Ventas, Inc.",Real Estate
HPE,19790011028,1257,Hewlett Packard Enterprise Company,Technology
EFX,26387350129,1257,Equifax Inc.,Industrials
AMD,168036575313,1257,"Advanced Micro Devices, Inc.",Technology
CBOE,13956079500,1257,"Cboe Global Markets, Inc.",Financial Services
HRL,23477925657,1257,Hormel Foods Corporation,Consumer Defensive
AOS,7655031697,1257,A. O. Smith Corporation,Industrials
AAPL,2300593800981,1257,Apple Inc.,Technology
WFC,144256638730,1257,Wells Fargo & Company,Financial Services
IRM,16078013182,1257,Iron Mountain Incorporated,Real Estate
ALL,34102183356,1257,The Allstate Corporation,Financial Services
WDC,13883885397,1257,Western Digital Corporation,Technology
LKQ,11662613213,1257,LKQ Corporation,Consumer Cyclical
MTB,23446238828,1257,M&T Bank Corporation,Financial Services
FANG,34605907353,1257,"Diamondback Energy, Inc.",Energy
HCA,56060059696,1257,"HCA Healthcare, Inc.",Healthcare
KEY,18200842626,1257,KeyCorp,Financial Services
DGX,14911374695,1257,Quest Diagnostics Incorporated,Healthcare
EQIX,72596322675,1257,"Equinix, Inc.",Real Estate
CL,65058226161,1257,Colgate-Palmolive Company,Consumer Defensive
